.mw-parser-output .hidden-begin{box-sizing:border-box;width:100%;padding:5px;border:none;font-size:95%}.mw-parser-output .hidden-title{font-weight:bold;line-height:1.6;text-align:left}.mw-parser-output .hidden-content{text-align:left}Country or territory (Territories without full sovereignty in italics) [a],Total length of land borders,Total length of land borders,No. of distinct land borders,No. of distinct land neighbours,Land border neighbours and border length (Territories without full sovereignty in italics) [a] (#) = No. of distinct land boundaries with that country or territory
.mw-parser-output .hidden-begin{box-sizing:border-box;width:100%;padding:5px;border:none;font-size:95%}.mw-parser-output .hidden-title{font-weight:bold;line-height:1.6;text-align:left}.mw-parser-output .hidden-content{text-align:left}Country or territory (Territories without full sovereignty in italics) [a],km[b],mi,No. of distinct land borders,No. of distinct land neighbours,Land border neighbours and border length (Territories without full sovereignty in italics) [a] (#) = No. of distinct land boundaries with that country or territory
Croatia,2197.0,1365,6,5,Bosnia and Herzegovina (2): 932 km (579 mi)  Hungary: 329 km (204 mi)  Montenegro: 25 km (16 mi)  Serbia: 241 km (150 mi)  Slovenia: 670 km (420 mi)
Cuba,0.0,0[s],0[s],0[s],
Cyprus,152.0,94,6[t],1,Akrotiri and Dhekelia[u] (United Kingdom) (5):[t] 152 km (94 mi)
Czech Republic,1881.0,1169,4,4,Austria: 362 km (225 mi)  Germany: 815 km (506 mi)[2]  Poland: 658 km (409 mi)  Slovakia: 215 km (134 mi)
Denmark (constituent country),68.0,42,1,1,Germany: 68 km (42 mi)
"Denmark, Kingdom of →includes: → Denmark (constituent country) → Faroe Islands → Greenland",69.0,43,2,2,Germany: 68 km (42 mi)  Canada: 1.2 km (0.75 mi)
Djibouti,528.0,328,3,3,Eritrea: 125 km (78 mi)  Ethiopia: 342 km (213 mi)  Somaliland: 61 km (38 mi)
Dominica,0.0,0,0,0,
Dominican Republic,360.0,220,1,1,Haiti: 360 km (220 mi)
East Timor,228.0,142,2,1,Indonesia (2): 228 km (142 mi)
Ecuador,2010.0,1250,2,2,"Colombia: 590 km (370 mi)  Peru: 1,420 km (880 mi)"
Egypt,2665.0,1656,4,4,"Gaza Strip (State of Palestine):[v] 11 km (6.8 mi)  Israel: 266 km (165 mi)  Libya: 1,115 km (693 mi)  Sudan: 1,273 km (791 mi)"
El Salvador,545.0,339,2,2,Guatemala: 203 km (126 mi)  Honduras: 342 km (213 mi)
Equatorial Guinea,539.0,335,2,2,Cameroon: 189 km (117 mi)  Gabon: 350 km (220 mi)
Eritrea,1626.0,1010,3,3,Djibouti: 125 km (78 mi)  Ethiopia: 912 km (567 mi)  Sudan: 605 km (376 mi)
Estonia,633.0,393,2,2,Latvia: 339 km (211 mi)  Russia: 294 km (183 mi)
Eswatini,535.0,332,2,2,Mozambique: 105 km (65 mi)  South Africa: 430 km (270 mi)
Ethiopia,5328.0,3311,6,6,"Djibouti: 342 km (213 mi)  Eritrea: 912 km (567 mi)  Kenya: 861 km (535 mi)  Somalia: 1,600 km (990 mi)  South Sudan: 883 km (549 mi)  Sudan: 723 km (449 mi)"
Fiji,0.0,0,0,0,
Finland,2690.0,1670,4,3,"Norway: 736 km (457 mi)  Sweden (2): 614 km (382 mi)  Russia: 1,340 km (830 mi)"
